Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.043462,0.862247,0.503788,0.413952,0.204095,0.853099,0.396976,0.866811,0.283981,0.289312,0.851536,0.662016,0.728471,0.219844,0.737588,0.694183,0.623822,1
0.036778,0.862527,0.506319,0.414822,0.219277,0.849189,0.399042,0.86499,0.289663,0.292758,0.850111,0.661934,0.728661,0.220307,0.742363,0.700687,0.612927,1
0.033731,0.857474,0.516569,0.419902,0.240038,0.854251,0.392875,0.859471,0.295449,0.300716,0.843824,0.660393,0.725268,0.222416,0.741098,0.69784,0.616024,1
0.068065,0.835705,0.494644,0.448368,0.222488,0.719263,0.525796,0.949677,0.400846,0.338223,0.952659,0.701429,0.672793,0.305526,0.665152,0.480009,0.820713,1
0.039684,0.856868,0.522992,0.419816,0.214584,0.856215,0.388345,0.852736,0.277696,0.305791,0.836641,0.667133,0.736068,0.210262,0.754297,0.708647,0.605653,1
0.037436,0.851131,0.531429,0.423493,0.232019,0.85599,0.384862,0.844358,0.281874,0.313798,0.828018,0.668531,0.739214,0.207908,0.760943,0.715378,0.60285,1
0.049079,0.823535,0.56474,0.491497,0.264602,0.849046,0.402637,0.873531,0.300027,0.356323,0.858945,0.645489,0.711665,0.219146,0.753048,0.700604,0.61261,1
0.043067,0.818058,0.572126,0.492273,0.250089,0.84854,0.398839,0.86365,0.310423,0.362877,0.848802,0.652908,0.719575,0.223351,0.755746,0.69797,0.622116,1
0.038212,0.815732,0.576942,0.493723,0.246756,0.846856,0.397589,0.858083,0.312346,0.368559,0.84325,0.652786,0.7217,0.221624,0.760769,0.700022,0.62238,1
0.051676,0.836418,0.554657,0.426757,0.149077,0.857963,0.370184,0.815696,0.233033,0.336118,0.798197,0.693234,0.770566,0.175514,0.792564,0.728135,0.60839,1
0.05635,0.83696,0.557153,0.423809,0.153367,0.85212,0.370051,0.805892,0.222927,0.339769,0.788754,0.698365,0.77697,0.165885,0.803134,0.731185,0.608275,1
0.055809,0.830467,0.565929,0.429122,0.154375,0.849227,0.368759,0.798223,0.226905,0.348561,0.781173,0.700954,0.779283,0.167563,0.801996,0.728221,0.615161,1
0.046287,0.829577,0.568685,0.425823,0.188242,0.842018,0.369997,0.78896,0.23367,0.352453,0.772448,0.699136,0.777924,0.166913,0.808817,0.726134,0.615003,1
