Matiz,Saturacion,Valor,Brillo,SRE,LRE,GNL,RLNU,RP,LGRE,HGRE,SRLGE,SRHGE,LRLGE,LRHGE,GLV,RLV,Etiqueta
0.848364,0.03632,0.081677,0.553958,0.360645,0.036545,0.938637,0.350566,0.731395,0.364551,0.413347,0.177355,0.204236,0.697047,0.172547,0.732578,0.190654,5
0.153624,0.442792,0.582678,0.745426,0.537328,0.328673,0.622823,0.350552,0.609239,0.803592,0.379284,0.695856,0.609417,0.564791,0.264659,0.131541,0.966796,3
0.143265,0.531647,0.62181,0.440721,0.142455,0.407487,0.396185,0.110543,0.135862,0.763764,0.122492,0.904152,0.915796,0.137817,0.626357,0.446717,0.917796,2
0.130939,0.483223,0.798062,0.622417,0.221008,0.451964,0.355871,0.133925,0.225714,0.909761,0.141431,0.857421,0.807338,0.254728,0.501374,0.262226,0.962506,2
0.804064,0.027597,0.086317,0.568951,0.40848,0.024397,0.952144,0.353945,0.806501,0.372698,0.418249,0.159663,0.173914,0.764773,0.139362,0.685584,0.275799,5
0.160212,0.446636,0.63933,0.592823,0.287036,0.428107,0.348467,0.084986,0.502707,0.831611,0.093723,0.787392,0.693626,0.483928,0.283662,0.123927,0.982542,3
0.053432,0.818741,0.607946,0.380405,0.154138,0.696249,0.440276,0.713367,0.206686,0.426919,0.710741,0.826999,0.840678,0.147948,0.812302,0.518726,0.84721,1
0.843511,0.153973,0.185159,0.583459,0.440538,0.095036,0.889687,0.405245,0.794214,0.398823,0.46294,0.169413,0.161374,0.75825,0.200942,0.69979,0.160347,5
0.867663,0.179448,0.492708,0.904702,0.670951,0.165984,0.836608,0.474668,0.733472,0.627401,0.526291,0.244935,0.251225,0.637013,0.320893,0.644367,0.430043,5
0.047949,0.75116,0.835729,0.496257,0.391886,0.818574,0.276884,0.594708,0.302843,0.556032,0.574069,0.729461,0.777973,0.197925,0.825802,0.586072,0.774794,4
0.129272,0.562968,0.903901,0.835697,0.78808,0.47194,0.545583,0.499079,0.528542,0.84623,0.515814,0.571551,0.54748,0.427101,0.574661,0.309218,0.890922,4
0.119701,0.591497,0.980829,0.71128,0.50988,0.537343,0.374871,0.30481,0.376791,0.859942,0.307774,0.683601,0.679544,0.300876,0.657648,0.36644,0.889314,4
0.15901,0.493776,0.478433,0.46039,0.207576,0.360688,0.482091,0.150155,0.346074,0.692796,0.168813,0.846394,0.838643,0.29507,0.459808,0.391111,0.926333,3
0.23491,0.624007,0.728517,0.759763,0.915456,0.656186,0.48906,0.744652,0.588091,0.608643,0.747686,0.437211,0.515305,0.463112,0.618451,0.635326,0.585595,4
0.071577,0.792893,0.489015,0.399261,0.386115,0.592101,0.533987,0.724803,0.326424,0.351445,0.734678,0.648238,0.711316,0.218711,0.765578,0.640863,0.698927,4
0.887706,0.410914,0.740201,0.658101,0.249147,0.796336,0.076062,0.27415,0.300062,0.596246,0.245956,0.601219,0.688874,0.165884,0.835109,0.952874,0.269068,5
0.052588,0.79725,0.600511,0.372956,0.20711,0.642278,0.464023,0.665381,0.168238,0.468962,0.667527,0.841008,0.860645,0.116538,0.840389,0.513076,0.869532,1
0.046851,0.81119,0.556106,0.345689,0.185247,0.618335,0.493899,0.686497,0.165158,0.437666,0.692102,0.84889,0.858234,0.120146,0.831472,0.497555,0.875156,1
0.155511,0.448127,0.606035,0.633828,0.3292,0.369264,0.518771,0.228933,0.558255,0.814199,0.249085,0.808931,0.686463,0.542895,0.234097,0.044016,0.998702,3
0.869083,0.123456,0.20647,0.635756,0.369463,0.062515,0.910895,0.347392,0.664137,0.432847,0.407047,0.288776,0.297848,0.594157,0.286596,0.684551,0.380778,5
0.088642,0.804029,0.456564,0.193601,0.158792,0.550116,0.448752,0.453193,0.08822,0.315747,0.459364,0.818256,0.915512,0.047377,0.884137,0.722817,0.715539,4
0.05551,0.880154,0.644263,0.240538,0.142307,0.895044,0.153425,0.51972,0.097407,0.381147,0.487795,0.826993,0.931844,0.063066,0.968413,0.718358,0.70674,1
0.166857,0.511537,0.509495,0.460372,0.195694,0.413888,0.419066,0.157264,0.352387,0.714412,0.169946,0.851506,0.828633,0.318787,0.438518,0.343315,0.941487,3
0.255716,0.65423,0.743795,0.745913,0.753336,0.787824,0.424433,0.836888,0.570058,0.569867,0.827498,0.471677,0.52996,0.439999,0.622253,0.614021,0.620001,4
0.825574,0.092705,0.220691,0.720832,0.600919,0.033939,0.95999,0.454986,0.73159,0.471073,0.521377,0.140694,0.184575,0.647543,0.232237,0.771858,0.152142,5
0.05235,0.729984,0.907695,0.488137,0.352664,0.732772,0.264168,0.44914,0.238366,0.64994,0.433894,0.774762,0.822223,0.156222,0.841402,0.544235,0.830136,4
0.136496,0.347531,0.713872,0.996361,0.981771,0.253041,0.73215,0.42907,0.805158,0.944756,0.469103,0.550441,0.453593,0.757402,0.152527,0.054842,0.96898,3
0.109757,0.750042,0.627311,0.368428,0.257244,0.621201,0.386081,0.465589,0.218025,0.49456,0.463868,0.780492,0.834137,0.182591,0.824727,0.596983,0.746306,4
0.052007,0.813989,0.697523,0.340815,0.147666,0.757463,0.31088,0.561637,0.142083,0.481104,0.547074,0.858503,0.90177,0.107049,0.883785,0.561957,0.835585,1
0.156684,0.425078,0.690803,0.685398,0.296282,0.401912,0.441174,0.166227,0.50235,0.882312,0.180589,0.814688,0.712047,0.483046,0.272212,0.092723,0.993484,3
0.055793,0.828262,0.683007,0.326154,0.129908,0.771008,0.302648,0.568839,0.121807,0.46531,0.552926,0.861514,0.907548,0.094263,0.902206,0.575062,0.828765,1
0.103123,0.792192,0.580938,0.345027,0.242394,0.666909,0.39066,0.552938,0.232726,0.414955,0.548654,0.756442,0.813211,0.197099,0.808468,0.613961,0.705481,4
0.099989,0.619672,0.941063,0.681658,0.553107,0.531737,0.413296,0.358189,0.389422,0.817732,0.363496,0.687439,0.669183,0.314783,0.650434,0.333767,0.905634,4
0.150418,0.626136,0.518938,0.229687,0.035538,0.481353,0.255818,0.060342,0.117024,0.665326,0.062093,0.968453,0.961052,0.180937,0.58068,0.399514,0.937416,2
0.158897,0.465304,0.588422,0.592206,0.258991,0.375835,0.487133,0.18882,0.481952,0.793344,0.206937,0.837156,0.728096,0.488012,0.264925,0.086591,0.994368,3
0.134525,0.356561,0.698869,0.957059,0.924757,0.264316,0.717058,0.41807,0.78222,0.928405,0.456441,0.578815,0.477726,0.73158,0.157033,0.044762,0.974897,3
0.057847,0.828044,0.649391,0.361999,0.153078,0.718454,0.381877,0.632579,0.166261,0.44504,0.624808,0.828886,0.86109,0.122158,0.840835,0.54206,0.839058,1
0.809983,0.049545,0.140115,0.655876,0.497143,0.049183,0.938709,0.421892,0.757115,0.421871,0.485459,0.149762,0.174593,0.699009,0.196762,0.730705,0.203183,5
0.059424,0.899257,0.353736,0.336451,0.160959,0.785139,0.469931,0.948449,0.419565,0.197393,0.942904,0.686028,0.657036,0.35207,0.601449,0.50689,0.790018,1
0.157338,0.471835,0.576804,0.541171,0.286066,0.406666,0.419465,0.143876,0.500344,0.777568,0.156977,0.817844,0.72385,0.491597,0.274191,0.118447,0.986418,3
0.073628,0.795522,0.491686,0.416031,0.41459,0.620643,0.52534,0.762015,0.374968,0.346958,0.769741,0.623655,0.681709,0.257944,0.73523,0.628076,0.692341,4
0.155992,0.384506,0.743517,0.903481,0.667326,0.346431,0.57747,0.294658,0.679973,0.948408,0.319552,0.63461,0.5432,0.62583,0.206226,0.095095,0.970304,3
0.143483,0.594592,0.651965,0.392678,0.150835,0.523859,0.199261,0.065913,0.152667,0.764428,0.062886,0.891079,0.921073,0.143778,0.656305,0.488347,0.895588,2
0.143684,0.755254,0.457006,0.168347,0.108314,0.430833,0.458796,0.248487,0.035299,0.417833,0.262082,0.855677,0.966842,0.043349,0.826751,0.735066,0.716718,4
0.157281,0.47708,0.570454,0.532104,0.26026,0.401414,0.427372,0.145908,0.484453,0.771801,0.159685,0.826032,0.733356,0.480691,0.27877,0.128271,0.985189,3
0.102824,0.624117,0.933265,0.672622,0.505499,0.53449,0.413215,0.362981,0.369175,0.809171,0.368119,0.698116,0.679315,0.296954,0.660187,0.340581,0.904918,4
0.061947,0.849755,0.645518,0.294237,0.073913,0.715956,0.365118,0.594424,0.069404,0.431387,0.585736,0.898011,0.926755,0.078913,0.893963,0.533789,0.862412,1
0.169292,0.586854,0.595233,0.40668,0.109573,0.540825,0.237811,0.132783,0.259443,0.742896,0.129895,0.883561,0.832745,0.318787,0.459754,0.273537,0.958803,2
0.142664,0.572367,0.611531,0.492529,0.166114,0.409608,0.513066,0.302534,0.176716,0.749899,0.320313,0.914532,0.888571,0.192452,0.612227,0.349795,0.945171,2
0.158744,0.528975,0.419877,0.430609,0.203919,0.330036,0.566684,0.232563,0.380678,0.64598,0.257402,0.879752,0.844081,0.332875,0.421318,0.309854,0.956603,3
0.701289,0.027251,0.03497,0.532018,0.493575,0.0023,0.984709,0.413443,0.954409,0.338611,0.482207,0.007119,0.003895,0.977657,0,0.670103,0.092046,5
0.060134,0.971286,0.40997,0.087053,0.01565,0.975931,0.150822,0.618223,0.029701,0.136829,0.579988,0.788779,0.910779,0.042678,0.947094,0.854394,0.527179,1
0.149456,0.525028,0.676064,0.58179,0.311569,0.49944,0.329866,0.18161,0.369873,0.823568,0.185092,0.795378,0.749463,0.337287,0.471099,0.271438,0.950018,2
0.104592,0.790157,0.519887,0.351614,0.268604,0.591143,0.478182,0.590043,0.260234,0.385604,0.595764,0.737005,0.78601,0.219028,0.770131,0.59701,0.714214,4
0.151282,0.469644,0.568206,0.582383,0.385139,0.374674,0.492774,0.197475,0.557853,0.776334,0.216001,0.768712,0.681143,0.525267,0.272673,0.131554,0.97849,3
0.856507,0.114278,0.184099,0.627751,0.184898,0.057177,0.87711,0.183385,0.373328,0.413624,0.238471,0.494761,0.582411,0.272965,0.500943,0.860422,0.432335,5
0.868011,0.130812,0.351262,0.82024,0.657293,0.075822,0.91998,0.458222,0.743229,0.553383,0.519833,0.211838,0.229942,0.650693,0.27486,0.692014,0.333413,5
0.821266,0.061415,0.156647,0.632819,0.436828,0.02871,0.953403,0.384826,0.76372,0.41741,0.449606,0.188512,0.200189,0.700544,0.200449,0.689038,0.295527,5
0.774799,0.030802,0.254226,0.806645,0.673281,0.001625,0.998003,0.500003,0.879263,0.524583,0.571585,0.089587,0.089643,0.837557,0.110945,0.621012,0.319704,5
0.155026,0.414668,0.686651,0.816908,0.545137,0.355978,0.582862,0.326432,0.628917,0.895062,0.351219,0.712179,0.608016,0.577628,0.238924,0.073072,0.985404,3
0.150028,0.758532,0.440293,0.168043,0.114078,0.436145,0.463081,0.265484,0.036516,0.396126,0.278998,0.845993,0.960953,0.039627,0.841352,0.752577,0.696548,4
0.092538,0.755199,0.524136,0.354325,0.270051,0.476961,0.555804,0.532284,0.196411,0.418615,0.549485,0.770139,0.823771,0.134,0.794512,0.596832,0.7911,4
